"","id","interviewer","ORDER","TTO_BLOCK","DCE_BLOCK","STATE_ID","value","reversed","state_A","state_B","method","flagged","timing","wt","d_mo2","d_mo3","d_mo4","d_mo5","d_sc2","d_sc3","d_sc4","d_sc5","d_ua2","d_ua3","d_ua4","d_ua5","d_pd2","d_pd3","d_pd4","d_pd5","d_ad2","d_ad3","d_ad4","d_ad5","n45"
"161",2020135,29,8,10,9,82,0.1,0,11111,12111,"TTO",0,2020,0.77647418973087,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162",2020135,29,9,10,9,80,0.2,0,11111,42321,"TTO",0,2020,0.77647418973087,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
"163",2020135,29,10,10,9,78,0.25,0,11111,13224,"TTO",0,2020,0.77647418973087,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1
"164",2020135,29,11,10,9,77,0.5,0,11111,24445,"TTO",0,2020,0.77647418973087,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1
"165",2020135,29,12,10,9,86,2,0,11111,55555,"TTO",0,2020,0.77647418973087,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"166",2020135,29,13,10,9,73,0.05,0,11111,11122,"TTO",0,2020,0.77647418973087,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"167",2020135,29,14,10,9,74,0.45,0,11111,52335,"TTO",0,2020,0.77647418973087,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1
"168",2020135,29,15,10,9,76,0.9,0,11111,43555,"TTO",0,2020,0.77647418973087,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"169",2020135,29,16,10,9,79,0.4,0,11111,34232,"TTO",0,2020,0.77647418973087,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1
"178",2020203,22,8,10,11,82,0.1,0,11111,12111,"TTO",0,2020,0.616946395561154,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
